ISLAND,NATION(S)
GREENLAND,"DANISH REALM
(KINGDOM OF DENMARK)"
NEW GUINEA,INDONESIA / PAPUA NEW GUINEA
BORNEO,BRUNEI / INDONESIA / MALAYSIA
"MADAGASCAR
(MAIN ISLAND)",MADAGASCAR
BAFFIN ISLAND,CANADA
SUMATRA,INDONESIA
HONSHU,JAPAN
VICTORIA ISLAND,CANADA
GREAT BRITAIN,UNITED KINGDOM
ELLESMERE ISLAND,CANADA
SULAWESI,INDONESIA
"SOUTH ISLAND
(TE WAIPOUNAMU)",NEW ZEALAND
JAVA,INDONESIA
"NORTH ISLAND
(TE IKA-A-MĀUI)",NEW ZEALAND
"LUZON
(MAIN ISLAND)",PHILIPPINES
NEWFOUNDLAND,CANADA
"CUBA
(MAIN ISLAND)",CUBA
"ICELAND
(MAIN ISLAND)",ICELAND
"MINDANAO
(MAIN ISLAND)",PHILIPPINES
IRELAND,REPUBLIC OF IRELAND / UNITED KINGDOM
HOKKAIDO,JAPAN
HISPANIOLA,"DOMINICAN REPUBLIC
HAITI"
SAKHALIN,RUSSIA
BANKS ISLAND,CANADA
"SRI LANKA
(MAIN ISLAND)",SRI LANKA
"TASMANIA
(MAIN ISLAND)",AUSTRALIA
DEVON ISLAND,CANADA
ALEXANDER ISLAND,
ISLA GRANDE DE TIERRA DEL FUEGO,ARGENTINA / CHILE
"SEVERNY ISLAND
(NORTHERN NOVAYA ZEMLYA)",RUSSIA
BERKNER ISLAND,
AXEL HEIBERG ISLAND,CANADA
MELVILLE ISLAND,CANADA
SOUTHAMPTON ISLAND,CANADA
MARAJÓ,BRAZIL
SPITSBERGEN,NORWAY
KYUSHU,JAPAN
NEW BRITAIN,PAPUA NEW GUINEA
"TAIWAN
(MAIN ISLAND)",TAIWAN
PRINCE OF WALES ISLAND,CANADA
"YUZHNY ISLAND
(SOUTHERN NOVAYA ZEMLYA)",RUSSIA
"HAINAN
(MAIN ISLAND)",CHINA
VANCOUVER ISLAND,CANADA
TIMOR,"EAST TIMOR
INDONESIA"
SICILY,ITALY
SOMERSET ISLAND,CANADA
KOTELNY ISLAND,RUSSIA
SARDINIA,ITALY
BANANAL ISLAND,BRAZIL
SHIKOKU,JAPAN
HALMAHERA,INDONESIA
SERAM ISLAND,INDONESIA
GRANDE TERRE,FRANCE
BATHURST ISLAND,CANADA
PRINCE PATRICK ISLAND,CANADA
THURSTON ISLAND,
NORDAUSTLANDET,NORWAY
SUMBAWA,INDONESIA
OCTOBER REVOLUTION ISLAND,RUSSIA
